MonthlyCharges,Contract,PaymentMethod,Partner,MultipleLines
95.55,One year,Electronic check,No,No
34.5,Month-to-month,Electronic check,Yes,No phone service
77.15,Month-to-month,Electronic check,No,Yes
49.35,Two year,Electronic check,Yes,No phone service
69.9,Month-to-month,Mailed check,Yes,No
89.15,Month-to-month,Electronic check,No,Yes
70.3,Month-to-month,Electronic check,No,No
74.9,Month-to-month,Electronic check,No,No
54.55,Month-to-month,Bank transfer (automatic),Yes,No phone service
85.35,Month-to-month,Bank transfer (automatic),Yes,Yes
86.45,Month-to-month,Electronic check,No,Yes
56.25,Month-to-month,Electronic check,No,No
78.6,One year,Credit card (automatic),No,Yes
24.45,Month-to-month,Mailed check,No,No phone service
99.55,Month-to-month,Electronic check,No,Yes
100.2,Month-to-month,Electronic check,No,Yes
89.75,Month-to-month,Bank transfer (automatic),No,Yes
69.75,Month-to-month,Electronic check,No,No
99.45,Month-to-month,Credit card (automatic),No,Yes
34.7,Month-to-month,Electronic check,No,No phone service
79.7,Two year,Electronic check,Yes,Yes
89.0,Month-to-month,Mailed check,Yes,No
89.95,Month-to-month,Electronic check,No,Yes
19.65,Month-to-month,Mailed check,No,No
24.6,Month-to-month,Electronic check,No,No phone service
75.3,Month-to-month,Electronic check,No,No
24.95,Month-to-month,Electronic check,Yes,No phone service
81.0,Month-to-month,Credit card (automatic),No,Yes
86.85,Month-to-month,Mailed check,Yes,Yes
19.5,Month-to-month,Bank transfer (automatic),Yes,No
36.5,Month-to-month,Bank transfer (automatic),Yes,No phone service
79.55,Month-to-month,Electronic check,No,No
70.3,Month-to-month,Electronic check,Yes,No
71.55,Month-to-month,Mailed check,No,No
42.35,One year,Electronic check,Yes,No phone service
20.2,Month-to-month,Bank transfer (automatic),No,No
77.75,Month-to-month,Electronic check,Yes,Yes
74.3,Month-to-month,Electronic check,No,Yes
99.95,Month-to-month,Mailed check,No,Yes
70.3,Month-to-month,Electronic check,No,No
70.2,Month-to-month,Bank transfer (automatic),No,No
91.4,Month-to-month,Electronic check,No,Yes
82.0,Month-to-month,Electronic check,No,Yes
99.55,Month-to-month,Credit card (automatic),Yes,Yes
85.3,Month-to-month,Electronic check,Yes,No
95.15,Month-to-month,Bank transfer (automatic),No,Yes
69.1,Month-to-month,Electronic check,No,No
96.5,Month-to-month,Electronic check,Yes,Yes
85.2,Month-to-month,Mailed check,No,Yes
60.15,Month-to-month,Electronic check,No,Yes
74.4,Month-to-month,Mailed check,Yes,Yes
100.8,Month-to-month,Electronic check,No,Yes
72.45,One year,Credit card (automatic),Yes,Yes
70.2,Month-to-month,Electronic check,No,No
69.35,Month-to-month,Electronic check,No,No
80.8,Month-to-month,Credit card (automatic),No,Yes
24.1,Month-to-month,Mailed check,Yes,Yes
34.7,Month-to-month,Electronic check,No,No phone service
105.0,One year,Bank transfer (automatic),No,No
98.6,One year,Bank transfer (automatic),Yes,No
109.75,Two year,Bank transfer (automatic),Yes,No
45.4,Month-to-month,Mailed check,No,No
89.05,One year,Electronic check,Yes,Yes
69.65,Month-to-month,Electronic check,No,No
47.15,Month-to-month,Electronic check,No,Yes
70.4,Month-to-month,Electronic check,No,No
45.15,Month-to-month,Electronic check,No,No
75.2,Month-to-month,Bank transfer (automatic),Yes,No
104.0,Two year,Credit card (automatic),No,Yes
69.4,Month-to-month,Mailed check,Yes,No
85.35,Month-to-month,Electronic check,No,No
91.85,Month-to-month,Electronic check,No,Yes
79.5,Month-to-month,Electronic check,No,No
101.4,Month-to-month,Electronic check,No,Yes
90.55,Month-to-month,Credit card (automatic),No,Yes
83.65,Month-to-month,Electronic check,Yes,Yes
100.3,One year,Credit card (automatic),Yes,Yes
105.65,One year,Credit card (automatic),No,Yes
20.35,Month-to-month,Mailed check,No,No
99.2,One year,Credit card (automatic),Yes,No
69.55,Month-to-month,Electronic check,Yes,No
86.0,Month-to-month,Bank transfer (automatic),No,Yes
80.0,One year,Credit card (automatic),Yes,No
100.65,Month-to-month,Bank transfer (automatic),Yes,Yes
49.15,Month-to-month,Electronic check,No,No phone service
88.85,Month-to-month,Electronic check,No,Yes
75.3,One year,Mailed check,Yes,Yes
20.1,Month-to-month,Mailed check,No,No
70.3,Month-to-month,Electronic check,No,No
20.4,Month-to-month,Mailed check,No,No
102.1,Month-to-month,Credit card (automatic),Yes,Yes
21.05,Month-to-month,Mailed check,No,No
73.75,Month-to-month,Mailed check,No,Yes
84.5,Month-to-month,Bank transfer (automatic),No,Yes
91.4,Month-to-month,Electronic check,No,No
78.1,Month-to-month,Bank transfer (automatic),No,No
67.5,One year,Bank transfer (automatic),Yes,No
40.2,Month-to-month,Electronic check,Yes,No phone service
74.7,Month-to-month,Electronic check,No,No
91.3,Month-to-month,Electronic check,No,Yes
78.3,Month-to-month,Electronic check,No,Yes
113.6,Month-to-month,Bank transfer (automatic),Yes,Yes
74.65,Month-to-month,Electronic check,No,Yes
45.85,Month-to-month,Mailed check,Yes,No
98.55,Month-to-month,Electronic check,No,Yes
77.95,Month-to-month,Bank transfer (automatic),No,Yes
96.3,Month-to-month,Mailed check,No,No
24.75,Two year,Credit card (automatic),No,Yes
80.15,Month-to-month,Credit card (automatic),No,No
50.6,Month-to-month,Mailed check,No,No
85.35,Month-to-month,Electronic check,No,Yes
55.3,Month-to-month,Electronic check,No,No
42.6,Month-to-month,Electronic check,No,No phone service
86.15,Month-to-month,Credit card (automatic),Yes,Yes
89.5,Month-to-month,Electronic check,No,No
